Time,X_Pos,Altitude,Velocity,Pitch,Roll
30.7256046705588,177.76643032331268,1041.429039286578,16.130210835666126,28.461353262771382,0.0
30.77564637197665,176.9468237313535,1041.3818003630404,16.35072489142768,28.501510614899164,0.0
30.825688073394495,176.1190672630566,1041.298173808442,16.5893813315319,28.54206487416844,0.0
30.875729774812346,175.28362518157687,1041.1777302557464,16.8456351395047,28.583031992281054,0.0
30.925771476230192,174.44095323402692,1041.0200198754649,17.118883051169114,28.624428009864065,0.0
30.975813177648043,173.5914986514764,1040.824572375656,17.40846355464545,28.666269056469766,0.0
31.02585487906589,172.73570014895265,1040.5908970019261,17.71365689035114,28.70857135057565,0.0
31.075896580483736,171.87398792544016,1040.3184825374283,18.03368505100085,28.751351199584455,0.0
31.125938281901586,171.0067307134282,1040.0071018677959,18.367745257155132,28.79462541821398,0.0
31.175979983319433,170.13433873575647,1039.6577880940954,18.71509789070405,28.838409051112066,0.0
31.226021684737283,169.25821463523434,1039.268877125119,19.074650710718423,28.882706372281636,0.0
31.27606338615513,168.3799906801697,1038.838367026082,19.445278787037513,28.92751873467451,0.0
31.32610508757298,167.50140354951236,1038.3644405117434,19.825886224761156,28.97284574045195,0.0
31.376146788990827,166.62429433285453,1037.845464946405,20.215406164249533,29.01868524098463,0.0
31.426188490408673,165.75060853043038,1037.279992343911,20.612800781123372,29.065033336852654,0.0
31.476230191826524,164.88239605311622,1036.66675936765,21.017061286263854,29.111884377845556,0.0
31.52627189324437,164.02181122243067,1036.004687330553,21.42720792581253,29.15923096296228,0.0
31.57631359466222,163.17111277053425,1035.2928821950939,21.84228998117154,29.207063940411214,0.0
31.626355296080067,162.3326638402299,1034.5306345732904,22.261385769003343,29.255372407610153,0.0
31.676396997497918,161.50893198496246,1033.7174197267027,22.683602641230994,29.304143711186335,0.0
31.726438698915764,160.7024891688191,1032.8528975664344,23.108076985037872,29.353363446976406,0.0
31.77648040033361,159.91601176652904,1031.9369126531324,23.533974222867922,29.40301546002645,0.0
31.82652210175146,159.15228056346356,1030.9694941969863,23.960488812425524,29.453081844591974,0.0
31.876563803169308,158.41418075563632,1029.950856057729,24.38684424667545,29.503542944137898,0.0
31.926605504587158,157.7047019497029,1028.8813967446367,24.81229305384303,29.554377351338584,0.0
31.976647206005005,157.02693816296116,1027.761699416529,25.236116797413956,29.60556190807781,0.0
32.02668890742285,156.38408782335105,1026.5925318817674,25.657626076134438,29.657071705448775,0.0
32.0767306088407,155.77945376945468,1025.3748465982578,26.076160524011136,29.708880083754114,0.0
32.12677231025855,155.21644325049618,1024.1097806734483,26.491088810311226,29.760958632505886,0.0
32.1768140116764,154.69856792634212,1022.7986558643313,26.901808639562155,29.81327719042556,0.0
32.226855713094245,154.22944386750095,1021.4429785774411,27.307746751552017,29.86580384544404,0.0
32.27689741451209,153.81279155512337,1020.0444398688558,27.708358921329296,29.918504934701666,0.0
32.326939115929946,153.45243588100215,1018.604915444196,28.10312995920299,29.97134504454819,0.0
32.37698081734779,153.15230614757232,1017.1264656586264,28.4915737107424,30.024287010542782,0.0
32.42702251876564,152.91643194136384,1015.6113276716372,28.87324340968723,30.077291688733435,0.0
32.477064220183486,152.7486727546073,1014.0618671126217,29.248426564121875,30.130301681660164,0.0
32.52710592160133,152.65288702154484,1012.4822147964902,29.617202190347935,30.18326171225932,0.0
32.57714762301919,152.6326818515696,1010.8771420028603,29.979215821428987,30.236128036417153,0.0
32.62718932443703,152.69121061291142,1009.251462900529,30.33408709792387,30.288860212240703,0.0
32.67723102585488,152.8311729326369,1007.6100345474714,30.68140976788701,30.34142110005786,0.0
32.72727272727273,153.0548146966495,1005.9577568908418,31.020751686868213,30.393776862417337,0.0
32.77731442869057,153.36392804968935,1004.2995727669729,31.351654817912703,30.445896964088654,0.0
32.82735613010843,153.75985139533356,1002.6404679013763,31.67363523156117,30.49775417206218,0.0
